City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,74.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Constitucion,CL,58.64,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
2,Cidreira,BR,73.67,light rain,-30.1811,-50.2056,Hotel Castelo
6,Busselton,AU,75.6,overcast clouds,-33.65,115.3333,Observatory Guest House
8,Necochea,AR,59.43,clear sky,-38.5473,-58.7368,dyd -mar Hotel
10,Rikitea,PF,79.97,broken clouds,-23.1203,-134.9692,People ThankYou
14,East London,ZA,65.23,moderate rain,-33.0153,27.9116,Tu Casa
20,Saint George,US,60.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
21,Tocopilla,CL,69.31,scattered clouds,-22.092,-70.1979,Hotel Galvarino
22,Hermanus,ZA,65.48,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Victoria,HK,77.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
27,Bryant,US,51.53,broken clouds,34.5959,-92.4891,La Quinta Inn & Suites by Wyndham Little Rock - Bryant
29,Kongolo,CD,74.17,broken clouds,-5.3833,27.0,GUEST HOUSE OASIS
30,Hirara,JP,72.43,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
31,Bluff,NZ,56.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
35,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Kaitangata,NZ,53.4,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
41,Katsuura,JP,62.31,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
42,Aroeiras,BR,73.27,broken clouds,-7.5453,-35.7075,Hotel Acauã
45,Bredasdorp,ZA,64.02,light rain,-34.5322,20.0403,Bredasdorp Country Manor
49,Dong Hoi,VN,78.89,light rain,17.4833,106.6,Nam Long Hotel
50,Limon,CR,74.77,few clouds,10.0,-83.0333,Hotel Playa Bonita
52,Salinopolis,BR,74.01,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
60,Kingston,JM,77.95,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
61,Dunedin,NZ,53.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
62,Port Alfred,ZA,66.4,light rain,-33.5906,26.891,The Halyards Hotel
64,Cape Town,ZA,68.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
70,Ahipara,NZ,67.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
71,Chuy,UY,61.68,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
74,Kruisfontein,ZA,58.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
75,Mataura,NZ,56.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
76,Tallahassee,US,63.68,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
79,Atuona,PF,78.71,broken clouds,-9.8,-139.0333,Villa Enata
80,Hilo,US,74.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
81,Abha,SA,61.05,clear sky,18.2164,42.5053,Abha Hotel
83,Sungaipenuh,ID,78.6,light rain,-2.0833,101.3833,Penginapan Citra Alam
84,Thaba-Tseka,LS,50.05,clear sky,-29.522,28.6084,Motherland Guesthouse
87,Mar Del Plata,AR,62.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
91,Christchurch,NZ,58.95,overcast clouds,-43.5333,172.6333,The George
92,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,Santa Cruz,BO,65.66,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
102,Rafraf,TN,55.71,scattered clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
104,Kalemie,CD,74.97,overcast clouds,-5.9475,29.1947,Mahobilali
108,Zemio,CF,77.61,overcast clouds,5.0314,25.1361,OCHA Office
110,Tuatapere,NZ,61.03,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
111,Ponta Do Sol,PT,60.06,few clouds,32.6667,-17.1,Hotel do Campo
114,Arraial Do Cabo,BR,76.55,clear sky,-22.9661,-42.0278,Pousada Porto Praia
115,Saldanha,ZA,63.01,few clouds,-33.0117,17.9442,Blue Bay Lodge
116,Camacha,PT,56.62,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
117,Ponta Delgada,PT,57.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
119,Inhambane,MZ,78.6,light rain,-23.865,35.3833,Oceano
125,Chepareria,KE,76.53,overcast clouds,1.3077,35.2039,Hamza Lodge
128,Lebu,CL,56.41,clear sky,-37.6167,-73.65,Hostal Las Lilas
