,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,74.55,97,72,0.47,broken clouds
1,Constitucion,CL,-35.3333,-72.4167,58.64,92,66,1.77,broken clouds
2,Cidreira,BR,-30.1811,-50.2056,73.67,76,100,14.14,light rain
3,Carnarvon,AU,-24.8667,113.6333,86.07,54,40,24.16,scattered clouds
4,Punta Arenas,CL,-53.15,-70.9167,46.51,71,20,19.57,few clouds
5,Buala,SB,-8.145,159.5921,83.37,70,64,1.79,light rain
6,Busselton,AU,-33.65,115.3333,75.6,60,90,14.65,overcast clouds
7,Nabire,ID,-3.3667,135.4833,85.57,68,100,5.7,overcast clouds
8,Necochea,AR,-38.5473,-58.7368,59.43,59,5,11.77,clear sky
9,Ushuaia,AR,-54.8,-68.3,40.66,93,100,12.66,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,79.97,76,64,14.03,broken clouds
11,Dasoguz,TM,41.8363,59.9666,39.04,56,100,16.75,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,-3.44,76,98,5.01,overcast clouds
13,Kholmogory,RU,64.2229,41.656,19.29,92,68,6.85,broken clouds
14,East London,ZA,-33.0153,27.9116,65.23,87,100,3.09,moderate rain
15,Gornopravdinsk,RU,60.05,69.9,12.13,90,99,7.85,overcast clouds
16,Husavik,IS,66.0449,-17.3389,26.15,78,82,15.32,broken clouds
17,Kenai,US,60.5544,-151.2583,27.03,87,100,9.22,light snow
18,Iqaluit,CA,63.7506,-68.5145,-9.31,76,100,10.0,overcast clouds
19,Prince George,CA,53.9166,-122.753,35.29,76,96,5.77,overcast clouds
20,Saint George,US,37.1041,-113.5841,60.64,26,0,1.99,clear sky
21,Tocopilla,CL,-22.092,-70.1979,69.31,81,34,4.38,scattered clouds
22,Hermanus,ZA,-34.4187,19.2345,65.48,75,32,10.49,scattered clouds
23,Vaini,TO,-21.2,-175.2,82.15,74,99,7.05,light rain
24,Victoria,HK,22.2855,114.1577,77.97,75,100,10.0,overcast clouds
25,Nanortalik,GL,60.1432,-45.2371,4.3,80,100,9.91,light snow
26,Tuktoyaktuk,CA,69.4541,-133.0374,-21.37,99,16,9.1,few clouds
27,Bryant,US,34.5959,-92.4891,51.53,88,77,3.98,broken clouds
28,Butaritari,KI,3.0707,172.7902,81.63,79,97,18.52,light rain
29,Kongolo,CD,-5.3833,27.0,74.17,88,81,2.21,broken clouds
30,Hirara,JP,24.8,125.2833,72.43,76,91,14.25,overcast clouds
31,Bluff,NZ,-46.6,168.3333,56.8,67,84,18.48,broken clouds
32,Goderich,CA,43.7501,-81.7165,34.92,98,100,6.4,overcast clouds
33,Thompson,CA,55.7435,-97.8558,-4.25,100,88,2.93,overcast clouds
34,Avarua,CK,-21.2078,-159.775,78.85,83,19,2.3,few clouds
35,Kapaa,US,22.0752,-159.319,73.72,76,75,9.22,broken clouds
36,Fort Nelson,CA,58.8053,-122.7002,5.61,100,88,1.23,overcast clouds
37,Mezen,RU,65.8522,44.24,20.21,94,86,8.75,overcast clouds
38,Saskylakh,RU,71.9167,114.0833,-8.36,93,96,5.39,overcast clouds
39,Kaitangata,NZ,-46.2817,169.8464,53.4,72,100,9.8,overcast clouds
40,Moscow,RU,55.7522,37.6156,23.63,89,37,5.19,scattered clouds
41,Katsuura,JP,35.1333,140.3,62.31,66,26,6.11,scattered clouds
42,Aroeiras,BR,-7.5453,-35.7075,73.27,91,76,3.33,broken clouds
43,Ullapool,GB,57.8987,-5.1604,38.35,96,100,3.91,overcast clouds
44,Provideniya,RU,64.3833,-173.3,4.69,80,0,5.06,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,64.02,75,43,3.22,light rain
46,Vardo,NO,70.3705,31.1107,29.14,81,8,25.34,clear sky
47,Porto Novo,BJ,6.4965,2.6036,80.4,81,91,5.48,overcast clouds
48,Leninskoye,KZ,41.7589,69.3864,48.72,80,100,5.5,overcast clouds
49,Dong Hoi,VN,17.4833,106.6,78.89,76,50,8.39,light rain
50,Limon,CR,10.0,-83.0333,74.77,83,12,3.56,few clouds
51,Yulara,AU,-25.2406,130.9889,102.79,13,31,5.32,scattered clouds
52,Salinopolis,BR,-0.6136,-47.3561,74.01,91,100,2.24,moderate rain
53,Alekseyevsk,RU,57.8406,108.3492,13.5,81,100,9.57,light snow
54,Kodiak,US,57.79,-152.4072,36.91,87,100,10.36,light rain
55,Bambous Virieux,MU,-20.3428,57.7575,83.21,74,58,4.92,broken clouds
56,Sycow,PL,51.3081,17.7198,42.58,88,100,10.07,overcast clouds
57,Vitkov,CZ,49.7744,17.7494,36.64,97,100,9.64,overcast clouds
58,Jamestown,US,42.097,-79.2353,38.84,70,0,3.44,clear sky
59,Saint-Philippe,RE,-21.3585,55.7679,84.22,81,99,10.4,overcast clouds
60,Kingston,JM,17.997,-76.7936,77.95,84,20,6.91,few clouds
61,Dunedin,NZ,-45.8742,170.5036,53.8,72,100,4.0,overcast clouds
62,Port Alfred,ZA,-33.5906,26.891,66.4,79,81,3.0,light rain
63,Severnoye,RU,56.3491,78.3619,16.21,87,99,5.08,overcast clouds
64,Cape Town,ZA,-33.9258,18.4232,68.11,71,0,16.6,clear sky
65,Portland,US,45.5234,-122.6762,48.74,84,75,6.91,broken clouds
66,Aklavik,CA,68.2191,-135.0107,-28.43,98,54,1.63,broken clouds
67,Gopalpur,IN,19.2667,84.9167,91.08,34,79,6.24,broken clouds
68,Halifax,CA,44.6453,-63.5724,30.69,77,100,1.99,overcast clouds
69,Bethel,US,41.3712,-73.414,47.75,91,0,1.99,clear sky
70,Ahipara,NZ,-35.1667,173.1667,67.19,83,100,5.82,overcast clouds
71,Chuy,UY,-33.6971,-53.4616,61.68,79,0,4.54,clear sky
72,Meulaboh,ID,4.1363,96.1285,85.03,68,93,5.99,overcast clouds
73,Juneau,US,58.3019,-134.4197,39.22,95,100,6.91,light rain
74,Kruisfontein,ZA,-34.0033,24.7314,58.89,69,6,3.06,clear sky
75,Mataura,NZ,-46.1927,168.8643,56.48,70,97,6.58,overcast clouds
76,Tallahassee,US,30.4383,-84.2807,63.68,97,100,6.91,overcast clouds
77,Qaanaaq,GL,77.484,-69.3632,-6.0,97,100,5.91,overcast clouds
78,Matay,EG,28.419,30.7792,49.86,51,1,11.23,clear sky
79,Atuona,PF,-9.8,-139.0333,78.71,71,51,12.75,broken clouds
80,Hilo,US,19.7297,-155.09,74.25,96,100,5.75,moderate rain
81,Abha,SA,18.2164,42.5053,61.05,67,0,6.91,clear sky
82,Chapais,CA,49.7834,-74.8492,17.38,95,100,9.33,light snow
83,Sungaipenuh,ID,-2.0833,101.3833,78.6,63,100,2.42,light rain
84,Thaba-Tseka,LS,-29.522,28.6084,50.05,78,5,2.77,clear sky
85,Alofi,NU,-19.0595,-169.9187,81.77,75,31,8.3,light rain
86,Svolvaer,NO,68.2342,14.5683,40.98,60,0,10.36,clear sky
87,Mar Del Plata,AR,-38.0023,-57.5575,62.87,86,0,32.99,clear sky
88,Aripuana,BR,-9.1667,-60.6333,70.61,99,73,1.72,broken clouds
89,Fortuna,US,40.5982,-124.1573,47.66,95,100,5.75,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,83.25,74,65,4.99,broken clouds
91,Christchurch,NZ,-43.5333,172.6333,58.95,74,100,11.5,overcast clouds
92,Cabo San Lucas,MX,22.8909,-109.9124,72.52,44,2,12.88,clear sky
93,Ostrovnoy,RU,68.0531,39.5131,29.91,88,53,15.48,broken clouds
94,Clyde River,CA,70.4692,-68.5914,-19.8,81,99,2.91,overcast clouds
95,Chokurdakh,RU,70.6333,147.9167,-11.04,92,69,11.83,broken clouds
96,Ust-Ishim,RU,57.6935,71.1665,17.65,85,95,4.92,overcast clouds
97,Jutai,BR,-5.1833,-68.9,71.92,99,69,1.07,broken clouds
98,Havre-Saint-Pierre,CA,50.2334,-63.5986,-3.91,93,18,4.5,few clouds
99,Albany,US,42.6001,-73.9662,38.37,92,100,3.04,overcast clouds
100,Tigil,RU,57.8,158.6667,16.48,92,58,4.7,broken clouds
101,Santa Cruz,BO,-17.8,-63.1667,65.66,88,13,4.61,few clouds
102,Rafraf,TN,37.1904,10.1837,55.71,89,49,23.6,scattered clouds
103,Ilulissat,GL,69.2167,-51.1,-3.98,54,100,14.97,overcast clouds
104,Kalemie,CD,-5.9475,29.1947,74.97,72,95,2.42,overcast clouds
105,Torbay,CA,47.6666,-52.7314,23.58,65,56,5.01,broken clouds
106,Moose Factory,CA,51.2585,-80.6094,19.38,93,100,4.61,overcast clouds
107,Tasiilaq,GL,65.6145,-37.6368,15.96,94,98,6.4,overcast clouds
108,Zemio,CF,5.0314,25.1361,77.61,18,99,7.72,overcast clouds
109,Souillac,MU,-20.5167,57.5167,84.04,72,79,4.63,broken clouds
110,Tuatapere,NZ,-46.1333,167.6833,61.03,62,66,7.56,broken clouds
111,Ponta Do Sol,PT,32.6667,-17.1,60.06,67,12,10.18,few clouds
112,Yerbogachen,RU,61.2767,108.0108,8.24,77,100,4.92,overcast clouds
113,Kulhudhuffushi,MV,6.6221,73.07,83.39,72,99,12.59,overcast clouds
114,Arraial Do Cabo,BR,-22.9661,-42.0278,76.55,91,7,11.68,clear sky
115,Saldanha,ZA,-33.0117,17.9442,63.01,85,13,17.22,few clouds
116,Camacha,PT,33.0833,-16.3333,56.62,72,75,24.16,broken clouds
117,Ponta Delgada,PT,37.7333,-25.6667,57.51,62,75,6.91,broken clouds
118,Pangody,RU,65.85,74.4859,20.41,95,100,11.45,light snow
119,Inhambane,MZ,-23.865,35.3833,78.6,84,73,12.88,light rain
120,Belaya Gora,RU,68.5333,146.4167,0.07,93,94,5.61,overcast clouds
121,Vestmannaeyjar,IS,63.4427,-20.2734,33.89,71,100,30.27,light snow
122,Barrow,US,71.2906,-156.7887,-0.38,71,100,11.5,light snow
123,Nagar Karnul,IN,16.4821,78.3247,94.59,12,37,3.51,scattered clouds
124,Norman Wells,CA,65.282,-126.8329,-8.91,100,95,2.42,overcast clouds
125,Chepareria,KE,1.3077,35.2039,76.53,35,100,3.85,overcast clouds
126,Nantucket,US,41.2835,-70.0995,44.74,92,100,8.05,overcast clouds
127,Sioux Lookout,CA,50.1001,-91.917,31.91,98,100,3.06,overcast clouds
128,Lebu,CL,-37.6167,-73.65,56.41,93,10,10.22,clear sky
129,Ribeira Grande,PT,38.5167,-28.7,57.0,60,59,2.73,broken clouds
130,Salalah,OM,17.0151,54.0924,82.49,61,0,2.3,clear sky
131,Port Elizabeth,ZA,-33.918,25.5701,61.11,79,22,3.51,few clouds
132,Shibganj,BD,24.6829,88.1598,96.8,15,0,5.86,clear sky
133,Jardim,BR,-21.4803,-56.1381,64.8,57,91,3.31,overcast clouds
134,Nikolskoye,RU,59.7035,30.7861,32.88,91,46,4.99,scattered clouds
135,Bengkulu,ID,-3.8004,102.2655,86.16,62,98,7.65,overcast clouds
136,Tabuk,PH,17.4189,121.4443,84.63,71,99,3.89,overcast clouds
137,Seoul,KR,37.5683,126.9778,65.59,32,74,5.46,broken clouds
138,Beatrice,US,40.2681,-96.747,48.18,61,0,9.22,clear sky
139,Kosh-Agach,RU,50.0,88.6667,13.24,71,18,2.66,few clouds
140,Laje,BR,-10.1833,-40.9667,68.02,95,72,2.62,broken clouds
141,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,66,59,8.43,broken clouds
142,Port Hardy,CA,50.6996,-127.4199,43.65,89,99,5.73,overcast clouds
143,Kawalu,ID,-7.3817,108.2082,84.76,71,86,4.21,overcast clouds
144,Padang,ID,-0.9492,100.3543,87.85,60,73,5.46,broken clouds
145,Dombarovskiy,RU,50.7587,59.5386,8.06,90,100,12.57,overcast clouds
146,Cap Malheureux,MU,-19.9842,57.6142,83.46,80,70,3.0,light rain
147,Hobart,AU,-42.8794,147.3294,73.22,74,75,17.27,broken clouds
148,Praia Da Vitoria,PT,38.7333,-27.0667,52.75,82,58,7.49,broken clouds
149,Gore,NZ,-46.1028,168.9436,55.53,70,92,7.67,overcast clouds
150,Port Macquarie,AU,-31.4333,152.9167,76.89,74,57,7.76,broken clouds
151,Altus,US,34.6381,-99.334,48.76,55,0,6.91,clear sky
152,Palm Beach,US,26.6503,-80.4498,72.01,98,98,5.3,overcast clouds
153,Shingu,JP,33.7333,135.9833,72.18,33,0,3.33,clear sky
154,Luderitz,NA,-26.6481,15.1594,62.51,60,0,15.82,clear sky
155,Mwinilunga,ZM,-11.7358,24.4293,66.04,90,100,1.1,overcast clouds
156,Iwaki,JP,37.05,140.8833,62.76,56,13,1.99,few clouds
157,Ginda,IN,30.6945,78.4932,78.44,13,0,7.18,clear sky
158,Okahandja,NA,-21.9833,16.9167,64.02,42,9,6.46,clear sky
159,Khatanga,RU,71.9667,102.5,-3.86,90,39,5.77,scattered clouds
160,New Norfolk,AU,-42.7826,147.0587,72.88,61,90,4.0,overcast clouds
161,Moranbah,AU,-22.0016,148.0466,85.95,39,96,14.07,overcast clouds
162,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,55,0,23.02,clear sky
163,Angoche,MZ,-16.2325,39.9086,79.2,88,95,4.36,light rain
164,Bagdarin,RU,54.4333,113.6,6.49,54,15,4.81,few clouds
165,Leh,IN,34.1667,77.5833,26.55,68,17,2.57,few clouds
166,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,55,75,6.71,broken clouds
167,Batticaloa,LK,7.7102,81.6924,80.46,75,100,2.82,overcast clouds
168,Isangel,VU,-19.55,169.2667,83.75,75,88,5.32,moderate rain
169,Narsaq,GL,60.9167,-46.05,-0.18,67,93,8.03,overcast clouds
170,Ionia,US,42.9873,-85.0711,33.26,97,75,0.0,mist
171,Southbridge,US,42.0751,-72.0334,41.27,95,92,5.75,overcast clouds
172,Lasa,IT,46.6166,10.7002,36.01,82,88,5.97,overcast clouds
173,Nynashamn,SE,58.9034,17.9479,29.1,85,0,4.79,clear sky
174,Sobolevo,RU,54.4299,31.8996,21.88,86,8,4.59,clear sky
175,Half Moon Bay,US,37.4636,-122.4286,54.99,84,75,13.8,mist
176,Svetlogorsk,BY,52.6333,29.7333,29.41,64,15,10.83,few clouds
177,Dera Bugti,PK,29.0307,69.151,96.12,12,6,4.63,clear sky
178,Leningradskiy,RU,69.3833,178.4167,-12.42,93,3,3.47,clear sky
179,Tommot,RU,58.9564,126.2925,9.01,87,100,8.63,light snow
180,Mandalgovi,MN,45.7625,106.2708,21.27,26,83,6.96,broken clouds
181,Erzin,TR,36.9559,36.2,40.17,46,0,3.87,clear sky
182,Vila Velha,BR,-20.3297,-40.2925,75.94,91,75,3.44,broken clouds
183,Yatou,CN,37.15,122.3833,45.97,70,82,19.91,broken clouds
184,San Patricio,US,28.017,-97.5169,62.83,53,0,6.87,clear sky
185,Edd,ER,13.9297,41.6925,79.86,70,11,3.02,few clouds
186,Dawei,MM,14.0833,98.2,94.66,46,70,11.52,broken clouds
187,Mackay,AU,-21.15,149.2,83.68,68,100,15.86,light rain
188,Bathsheba,BB,13.2167,-59.5167,76.71,68,31,21.56,scattered clouds
189,Kalmunai,LK,7.4167,81.8167,79.39,79,100,1.9,light rain
190,Castro,BR,-24.7911,-50.0119,63.43,99,99,5.5,overcast clouds
191,Upernavik,GL,72.7868,-56.1549,-13.68,87,100,4.63,overcast clouds
192,Guerrero Negro,MX,27.9769,-114.0611,59.5,88,35,9.91,scattered clouds
193,Coahuayana,MX,18.7333,-103.6833,69.24,72,0,2.91,clear sky
194,Zhumadian,CN,32.9794,114.0294,80.73,51,100,8.03,overcast clouds
195,Quesnel,CA,52.9999,-122.5029,33.15,93,100,2.51,overcast clouds
196,Nigde,TR,37.8333,34.75,17.22,79,12,2.59,few clouds
197,Saint-Augustin,CA,51.226,-58.6502,-10.61,88,2,6.91,clear sky
198,Leiderdorp,NL,52.1571,4.5432,43.0,85,97,7.0,overcast clouds
199,Bosaso,SO,11.2842,49.1816,81.37,51,63,2.3,broken clouds
200,Lorengau,PG,-2.0226,147.2712,83.16,77,80,10.65,broken clouds
201,Olinda,BR,-8.0089,-34.8553,80.33,83,40,6.91,scattered clouds
202,Virginia Beach,US,36.8529,-75.978,57.25,77,100,4.61,overcast clouds
203,Ambon,ID,-3.6954,128.1814,89.74,62,40,6.91,scattered clouds
204,Nea Playia,GR,40.2667,23.2,49.87,87,81,4.92,broken clouds
205,Pochutla,MX,15.7432,-96.4661,74.82,72,0,2.82,clear sky
206,Astoria,US,46.1879,-123.8313,46.85,92,40,6.91,scattered clouds
207,Cherskiy,RU,68.75,161.3,0.45,96,100,5.88,overcast clouds
208,Cayenne,GF,4.9333,-52.3333,80.1,1,75,1.99,broken clouds
209,Coari,BR,-4.085,-63.1414,72.82,98,99,1.79,overcast clouds
210,Topola,RS,44.2542,20.6825,40.28,71,100,5.17,overcast clouds
211,Council Bluffs,US,41.2619,-95.8608,47.64,65,0,9.22,clear sky
212,Hithadhoo,MV,-0.6,73.0833,83.68,72,89,12.88,overcast clouds
213,Sabang,ID,5.8933,95.3214,82.81,73,93,5.68,overcast clouds
214,Margate,GB,51.3813,1.3862,47.3,87,100,3.0,overcast clouds
215,Ewa Beach,US,21.3156,-158.0072,76.98,70,0,4.61,clear sky
216,Cockburn Town,TC,21.4612,-71.1419,77.18,75,1,21.59,clear sky
217,Georgetown,MY,5.4112,100.3354,89.53,62,20,5.75,few clouds
218,Dubovskoye,RU,47.4092,42.7575,22.84,66,80,12.68,broken clouds
219,Bijar,IR,35.8668,47.6051,30.7,33,31,9.08,scattered clouds
220,Saint-Louis,SN,16.3333,-15.0,65.17,38,3,12.5,clear sky
221,Adrar,MR,20.5022,-10.0711,54.91,34,0,11.54,clear sky
222,Nome,US,64.5011,-165.4064,5.07,61,0,12.66,clear sky
223,Farafangana,MG,-22.8167,47.8333,78.53,83,91,1.77,overcast clouds
224,Sechura,PE,-5.5569,-80.8222,73.99,77,20,8.12,few clouds
225,Prainha,BR,-1.8,-53.48,70.5,99,99,0.45,overcast clouds
226,Neuquen,AR,-38.9516,-68.0591,60.69,88,0,0.0,clear sky
227,Hambantota,LK,6.1241,81.1185,80.94,89,100,2.3,light intensity shower rain
228,Yar-Sale,RU,66.8333,70.8333,22.24,95,100,14.56,light snow
229,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,39,0,16.11,clear sky
230,Nyurba,RU,63.2842,118.3319,6.17,69,95,3.76,overcast clouds
231,Semnan,IR,35.5729,53.3971,59.09,50,28,9.89,scattered clouds
232,Lalganj,IN,25.8667,85.1833,89.55,15,6,5.1,clear sky
233,Muroto,JP,33.2833,134.15,62.76,66,0,3.49,clear sky
234,Banatski Karlovac,RS,45.0472,21.0161,53.35,68,100,6.89,light rain
235,Abu Samrah,SY,35.3029,37.1841,38.66,48,0,5.19,clear sky
