City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-03-09 09:00:50,-21.2078,-159.775,27.03,83,20,4.12
1,Cherskiy,RU,2022-03-09 09:00:50,68.75,161.3,-14.55,82,99,2.46
2,Cape Town,ZA,2022-03-09 09:00:51,-33.9258,18.4232,30.06,47,0,3.6
3,Torbay,CA,2022-03-09 09:00:51,47.6666,-52.7314,-1.35,73,94,14.31
4,Caravelas,BR,2022-03-09 09:00:52,-17.7125,-39.2481,22.17,94,93,1.71
5,Rikitea,PF,2022-03-09 09:00:52,-23.1203,-134.9692,25.93,72,35,3.82
6,Busselton,AU,2022-03-09 09:00:53,-33.65,115.3333,32.27,41,100,4.63
7,Vaini,TO,2022-03-09 09:00:53,-21.2,-175.2,26.04,81,46,6.17
8,Provideniya,RU,2022-03-09 09:00:54,64.3833,-173.3,-10.69,77,1,4.83
9,Khorixas,NA,2022-03-09 09:00:54,-20.3667,14.9667,29.28,26,0,3.4
10,Khor,RU,2022-03-09 09:00:54,47.8861,134.9464,-2.33,94,100,2.33
11,Kodiak,US,2022-03-09 09:00:55,57.79,-152.4072,4.73,93,100,1.54
12,Urgut,UZ,2022-03-09 09:00:55,39.4022,67.2431,8.79,91,100,5.91
13,Dhidhdhoo,MV,2022-03-09 09:00:56,6.8833,73.1,28.05,72,41,3.69
14,Lebu,CL,2022-03-09 09:00:56,-37.6167,-73.65,12.18,77,65,6.2
15,Panaba,MX,2022-03-09 09:00:57,21.2833,-88.2667,21.93,97,6,3.01
16,Kurchum,KZ,2022-03-09 09:00:57,48.5722,83.6542,-2.94,79,22,0.99
17,Hasaki,JP,2022-03-09 09:00:58,35.7333,140.8333,8.22,52,54,5.35
18,Jambi,ID,2022-03-09 09:00:59,-1.6,103.6167,29.38,78,99,0.9
19,Rundu,NA,2022-03-09 09:00:59,-17.9333,19.7667,26.47,56,16,3.6
20,Riyadh,SA,2022-03-09 08:59:26,24.6877,46.7219,26.08,14,7,7.48
21,Harbour Breton,CA,2022-03-09 09:01:00,47.4833,-55.7983,-3.01,69,58,14.02
22,Yichang,CN,2022-03-09 09:01:01,30.7144,111.2847,22.24,46,0,2.51
23,Santa Cruz,BO,2022-03-09 09:01:01,-17.8,-63.1667,20.19,99,89,1.82
24,Mataura,NZ,2022-03-09 09:01:02,-46.1927,168.8643,15.27,86,100,1.42
25,Saint George,US,2022-03-09 09:00:11,37.1041,-113.5841,8.08,41,5,1.42
26,Punta Arenas,CL,2022-03-09 09:01:02,-53.15,-70.9167,7.23,76,89,6.76
27,Mahanoro,MG,2022-03-09 09:01:03,-19.9,48.8,27.93,79,100,2.28
28,Ushuaia,AR,2022-03-09 08:58:45,-54.8,-68.3,5.81,87,100,9.77
29,Douglas,US,2022-03-09 08:57:11,41.3,-96.167,-3.12,78,0,5.14
30,Port Alfred,ZA,2022-03-09 09:01:04,-33.5906,26.891,25.58,65,55,8.66
31,Rawson,AR,2022-03-09 09:01:01,-43.3002,-65.1023,13.44,40,2,13.99
32,Viesca,MX,2022-03-09 09:01:05,25.35,-102.8,13.88,28,1,0.89
33,Jamestown,US,2022-03-09 08:58:55,42.097,-79.2353,-1.27,48,100,0.89
34,Carnarvon,AU,2022-03-09 09:01:05,-24.8667,113.6333,32.91,45,0,7.73
35,Khatanga,RU,2022-03-09 09:01:06,71.9667,102.5,-15.69,86,100,5.09
36,Manacapuru,BR,2022-03-09 08:59:14,-3.2997,-60.6206,23.32,91,100,0.86
37,Kavieng,PG,2022-03-09 09:01:06,-2.5744,150.7967,27.57,76,100,2.37
38,Hermanus,ZA,2022-03-09 09:01:07,-34.4187,19.2345,29.94,69,36,3.25
39,Quesnel,CA,2022-03-09 09:01:07,52.9999,-122.5029,-6.93,89,5,1.46
40,Wahiawa,US,2022-03-09 09:01:08,21.5028,-158.0236,21.93,79,4,1.9
41,Coffeyville,US,2022-03-09 09:01:09,37.0373,-95.6164,-0.05,80,40,0.0
42,Nikolskoye,RU,2022-03-09 09:01:09,59.7035,30.7861,-7.06,81,10,1.52
43,Codrington,AU,2022-03-09 09:01:09,-38.2667,141.9667,15.43,68,4,6.33
44,Douala,CM,2022-03-09 08:51:57,4.0483,9.7043,27.95,94,75,1.54
45,Kapaa,US,2022-03-09 09:01:10,22.0752,-159.319,21.18,72,20,2.06
